,train_accuracy,test_accuracy
lda_with_no_reduction,0.9875,0.981875
svm_with_no_reduction,0.99046875,0.98
linear_probe_with_no_reduction,0.994375,0.973125
svm_with_autoencoding,0.994375,0.968125
linear_probe_with_autoencoding,0.9628125,0.94375
lda_with_autoencoding,0.958125,0.939375
qda_with_autoencoding,0.97875,0.92125
qda_with_no_reduction,0.99078125,0.9175
gradient_boosting_with_no_reduction,0.97234375,0.913125
random_forest_with_no_reduction,1.0,0.9125
random_forest_with_autoencoding,1.0,0.895625
gradient_boosting_with_autoencoding,0.95328125,0.8925
bagging_classifier_with_no_reduction,1.0,0.871875
naive_bayes_with_no_reduction,0.888125,0.870625
bagging_classifier_with_autoencoding,1.0,0.8675
naive_bayes_with_autoencoding,0.86796875,0.85
knn3_with_no_reduction,0.88421875,0.77875
knn1_with_no_reduction,1.0,0.773125
knn5_with_no_reduction,0.855,0.77125
knn1_with_autoencoding,1.0,0.751875
knn3_with_autoencoding,0.8684375,0.733125
decision_tree_with_no_reduction,1.0,0.723125
decision_tree_with_autoencoding,1.0,0.71625
knn5_with_autoencoding,0.8296875,0.714375
qda_with_pca,0.98453125,0.62625
random_forest_with_pca,1.0,0.615
svm_with_pca,0.9978125,0.614375
naive_bayes_with_pca,0.666875,0.61125
linear_probe_with_pca,0.98546875,0.585
lda_with_pca,0.97484375,0.58125
gradient_boosting_with_pca,0.9615625,0.579375
bagging_classifier_with_pca,1.0,0.5725
decision_tree_with_pca,1.0,0.569375
knn1_with_pca,1.0,0.560625
knn3_with_pca,0.876875,0.554375
knn5_with_pca,0.84203125,0.55
