,train_accuracy,test_accuracy
svm_with_no_reduction,0.99,0.923125
linear_probe_with_no_reduction,0.99109375,0.911875
svm_with_autoencoding,0.981875,0.90125
lda_with_no_reduction,0.9809375,0.89625
linear_probe_with_autoencoding,0.895,0.8625
lda_with_autoencoding,0.88984375,0.860625
qda_with_autoencoding,0.9559375,0.853125
random_forest_with_autoencoding,1.0,0.825625
random_forest_with_no_reduction,1.0,0.814375
naive_bayes_with_no_reduction,0.80953125,0.78875
naive_bayes_with_autoencoding,0.76703125,0.750625
knn1_with_autoencoding,1.0,0.72375
knn3_with_autoencoding,0.85015625,0.72375
knn5_with_autoencoding,0.81046875,0.72
knn1_with_no_reduction,1.0,0.711875
knn3_with_no_reduction,0.81609375,0.70375
qda_with_no_reduction,1.0,0.701875
knn5_with_no_reduction,0.7671875,0.68625
decision_tree_with_no_reduction,1.0,0.6625
random_forest_with_pca,1.0,0.653125
decision_tree_with_autoencoding,1.0,0.643125
svm_with_pca,0.994375,0.638125
naive_bayes_with_pca,0.67328125,0.63125
knn1_with_pca,1.0,0.600625
knn3_with_pca,0.81421875,0.595625
linear_probe_with_pca,1.0,0.5925
lda_with_pca,0.9659375,0.59125
knn5_with_pca,0.768125,0.589375
decision_tree_with_pca,1.0,0.5575
qda_with_pca,0.99984375,0.504375
