,train_accuracy,test_accuracy
svm_with_no_reduction,0.9684375,0.854375
lda_with_no_reduction,0.88546875,0.828125
linear_probe_with_no_reduction,0.894375,0.82375
svm_with_autoencoding,0.95515625,0.8075
random_forest_with_no_reduction,1.0,0.756875
qda_with_no_reduction,0.995,0.75125
random_forest_with_autoencoding,1.0,0.74625
qda_with_autoencoding,0.91609375,0.738125
linear_probe_with_autoencoding,0.77890625,0.735625
lda_with_autoencoding,0.7778125,0.734375
naive_bayes_with_autoencoding,0.70375,0.690625
naive_bayes_with_no_reduction,0.696875,0.681875
knn1_with_no_reduction,1.0,0.668125
knn1_with_autoencoding,1.0,0.6625
knn3_with_autoencoding,0.8265625,0.655
knn3_with_no_reduction,0.82453125,0.65125
knn5_with_no_reduction,0.7709375,0.645625
knn5_with_autoencoding,0.77890625,0.640625
decision_tree_with_no_reduction,1.0,0.596875
random_forest_with_pca,1.0,0.596875
decision_tree_with_autoencoding,1.0,0.594375
naive_bayes_with_pca,0.681875,0.58125
svm_with_pca,0.97734375,0.568125
qda_with_pca,0.9753125,0.5675
knn3_with_pca,0.825,0.559375
knn5_with_pca,0.77140625,0.559375
linear_probe_with_pca,0.8471875,0.55125
knn1_with_pca,1.0,0.546875
lda_with_pca,0.8490625,0.54
decision_tree_with_pca,1.0,0.52375
