,train_accuracy,test_accuracy
linear_probe_with_no_reduction,0.99328125,0.864375
svm_with_autoencoding,0.9725,0.8525
svm_with_no_reduction,0.9675,0.848125
lda_with_no_reduction,0.97859375,0.834375
qda_with_autoencoding,0.95109375,0.798125
random_forest_with_no_reduction,1.0,0.765625
random_forest_with_autoencoding,1.0,0.763125
lda_with_autoencoding,0.7490625,0.73
linear_probe_with_autoencoding,0.749375,0.72625
knn3_with_autoencoding,0.8375,0.721875
knn1_with_autoencoding,1.0,0.711875
naive_bayes_with_no_reduction,0.75515625,0.71125
knn5_with_autoencoding,0.79640625,0.70875
knn1_with_no_reduction,1.0,0.685625
knn3_with_no_reduction,0.82046875,0.676875
naive_bayes_with_autoencoding,0.70609375,0.671875
knn5_with_no_reduction,0.7715625,0.660625
qda_with_no_reduction,1.0,0.640625
decision_tree_with_no_reduction,1.0,0.609375
decision_tree_with_autoencoding,1.0,0.561875
random_forest_with_pca,1.0,0.55875
svm_with_pca,0.99625,0.553125
knn3_with_pca,0.81671875,0.529375
knn1_with_pca,1.0,0.52375
knn5_with_pca,0.76453125,0.5225
naive_bayes_with_pca,0.676875,0.518125
decision_tree_with_pca,1.0,0.510625
lda_with_pca,0.941875,0.50875
linear_probe_with_pca,0.99984375,0.50625
qda_with_pca,1.0,0.5025
