,train_accuracy,test_accuracy
linear_probe_with_no_reduction,1.0,0.9375
svm_with_autoencoding,0.98578125,0.930625
lda_with_no_reduction,0.99921875,0.905625
svm_with_no_reduction,0.97859375,0.88375
random_forest_with_no_reduction,1.0,0.8775
linear_probe_with_autoencoding,0.866875,0.86125
qda_with_autoencoding,0.96625,0.860625
lda_with_autoencoding,0.86625,0.856875
random_forest_with_autoencoding,1.0,0.8325
naive_bayes_with_no_reduction,0.84046875,0.815625
naive_bayes_with_autoencoding,0.77234375,0.760625
knn1_with_autoencoding,1.0,0.74
knn3_with_autoencoding,0.85265625,0.73875
knn5_with_autoencoding,0.81265625,0.725
decision_tree_with_no_reduction,1.0,0.694375
knn1_with_no_reduction,1.0,0.686875
knn3_with_no_reduction,0.8221875,0.68
knn5_with_no_reduction,0.7725,0.661875
decision_tree_with_autoencoding,1.0,0.655
naive_bayes_with_pca,0.69875,0.5575
random_forest_with_pca,1.0,0.555
knn5_with_pca,0.7728125,0.531875
knn3_with_pca,0.82046875,0.520625
qda_with_no_reduction,1.0,0.51875
knn1_with_pca,1.0,0.510625
svm_with_pca,0.99921875,0.508125
qda_with_pca,1.0,0.49875
decision_tree_with_pca,1.0,0.4975
linear_probe_with_pca,1.0,0.480625
lda_with_pca,0.988125,0.47875
