,train_accuracy,test_accuracy
linear_probe_with_no_reduction,0.9675,0.9625
svm_with_no_reduction,0.9396875,0.96125
lda_with_no_reduction,0.95125,0.95375
gradient_boosting_with_no_reduction,0.965625,0.88375
svm_with_autoencoding,0.939375,0.87875
random_forest_with_no_reduction,1.0,0.85375
linear_probe_with_autoencoding,0.8265625,0.84875
lda_with_autoencoding,0.8209375,0.84
qda_with_no_reduction,0.985,0.8325
random_forest_with_autoencoding,1.0,0.83
bagging_classifier_with_no_reduction,1.0,0.82875
gradient_boosting_with_autoencoding,0.921875,0.8225
bagging_classifier_with_autoencoding,1.0,0.81125
qda_with_autoencoding,0.89625,0.7875
naive_bayes_with_no_reduction,0.773125,0.785
naive_bayes_with_autoencoding,0.6990625,0.735
knn1_with_no_reduction,1.0,0.68875
knn1_with_autoencoding,1.0,0.685
knn5_with_autoencoding,0.7709375,0.67375
knn5_with_no_reduction,0.7403125,0.67
knn3_with_no_reduction,0.79,0.6575
decision_tree_with_autoencoding,1.0,0.6525
naive_bayes_with_pca,0.6709375,0.65125
knn3_with_autoencoding,0.8171875,0.65
decision_tree_with_no_reduction,1.0,0.62875
qda_with_pca,0.965625,0.5975
random_forest_with_pca,1.0,0.58
decision_tree_with_pca,1.0,0.5375
knn5_with_pca,0.7409375,0.535
gradient_boosting_with_pca,0.9571875,0.51625
knn3_with_pca,0.7875,0.515
svm_with_pca,0.9815625,0.5125
knn1_with_pca,1.0,0.48625
bagging_classifier_with_pca,1.0,0.48375
lda_with_pca,0.9134375,0.4825
linear_probe_with_pca,0.931875,0.4675
