,train_accuracy,test_accuracy
svm_with_no_reduction,0.9965625,0.945
linear_probe_with_no_reduction,0.9996875,0.93625
svm_with_autoencoding,0.9903125,0.90875
gradient_boosting_with_no_reduction,0.994375,0.89625
lda_with_autoencoding,0.93,0.88625
random_forest_with_no_reduction,1.0,0.88
qda_with_autoencoding,0.980625,0.87875
linear_probe_with_autoencoding,0.95125,0.87625
random_forest_with_autoencoding,1.0,0.865
lda_with_no_reduction,1.0,0.85625
bagging_classifier_with_no_reduction,1.0,0.8525
gradient_boosting_with_autoencoding,0.9678125,0.8375
naive_bayes_with_no_reduction,0.83125,0.82125
bagging_classifier_with_autoencoding,1.0,0.795
naive_bayes_with_autoencoding,0.8209375,0.77875
naive_bayes_with_pca,0.734375,0.715
knn1_with_autoencoding,1.0,0.7
decision_tree_with_autoencoding,1.0,0.69875
decision_tree_with_no_reduction,1.0,0.68875
knn1_with_no_reduction,1.0,0.6725
knn5_with_autoencoding,0.7396875,0.66625
knn3_with_autoencoding,0.7921875,0.665
knn3_with_no_reduction,0.7296875,0.6175
knn5_with_no_reduction,0.6621875,0.6025
random_forest_with_pca,1.0,0.57375
qda_with_pca,0.9846875,0.54125
qda_with_no_reduction,1.0,0.53875
bagging_classifier_with_pca,1.0,0.52375
svm_with_pca,0.994375,0.51375
knn5_with_pca,0.72625,0.51
knn3_with_pca,0.7840625,0.49625
knn1_with_pca,1.0,0.485
gradient_boosting_with_pca,0.9740625,0.48
decision_tree_with_pca,1.0,0.465
lda_with_pca,0.961875,0.46
linear_probe_with_pca,0.9978125,0.4475
