,train_accuracy,test_accuracy
svm_with_no_reduction,0.9709375,0.83625
lda_with_no_reduction,0.923125,0.82375
linear_probe_with_no_reduction,0.9609375,0.81625
svm_with_autoencoding,0.938125,0.77875
qda_with_no_reduction,1.0,0.7375
linear_probe_with_autoencoding,0.7775,0.7325
random_forest_with_autoencoding,1.0,0.72875
lda_with_autoencoding,0.775625,0.72625
bagging_classifier_with_autoencoding,1.0,0.71625
gradient_boosting_with_no_reduction,0.9590625,0.7125
naive_bayes_with_no_reduction,0.7659375,0.70875
gradient_boosting_with_autoencoding,0.9159375,0.705
bagging_classifier_with_no_reduction,1.0,0.7025
random_forest_with_no_reduction,1.0,0.6975
qda_with_autoencoding,0.930625,0.67875
knn1_with_autoencoding,1.0,0.66375
knn1_with_no_reduction,1.0,0.6475
naive_bayes_with_autoencoding,0.696875,0.63875
knn3_with_autoencoding,0.7959375,0.615
knn3_with_no_reduction,0.7740625,0.6075
knn5_with_no_reduction,0.7275,0.5975
knn5_with_autoencoding,0.743125,0.5875
decision_tree_with_no_reduction,1.0,0.57625
decision_tree_with_autoencoding,1.0,0.5725
bagging_classifier_with_pca,1.0,0.56375
random_forest_with_pca,1.0,0.5625
qda_with_pca,0.969375,0.5575
gradient_boosting_with_pca,0.9465625,0.55375
naive_bayes_with_pca,0.7190625,0.54625
svm_with_pca,0.9753125,0.51375
lda_with_pca,0.846875,0.51
knn3_with_pca,0.7875,0.5025
linear_probe_with_pca,0.8475,0.4975
decision_tree_with_pca,1.0,0.495
knn1_with_pca,1.0,0.49125
knn5_with_pca,0.7359375,0.48625
