,train_accuracy,test_accuracy
svm_with_no_reduction,0.995,0.9875
linear_probe_with_no_reduction,0.999375,0.9825
lda_with_autoencoding,0.981875,0.975
svm_with_autoencoding,0.996875,0.9725
lda_with_no_reduction,0.9975,0.97
linear_probe_with_autoencoding,1.0,0.965
qda_with_autoencoding,0.983125,0.9625
naive_bayes_with_no_reduction,0.961875,0.9625
gradient_boosting_with_no_reduction,1.0,0.9575
random_forest_with_no_reduction,1.0,0.955
gradient_boosting_with_autoencoding,1.0,0.955
random_forest_with_autoencoding,1.0,0.945
gradient_boosting_with_pca,0.999375,0.9425
bagging_classifier_with_autoencoding,1.0,0.9375
bagging_classifier_with_no_reduction,1.0,0.935
random_forest_with_pca,1.0,0.935
svm_with_pca,0.99875,0.9325
qda_with_no_reduction,1.0,0.9275
bagging_classifier_with_pca,0.999375,0.9275
naive_bayes_with_autoencoding,0.9275,0.9275
linear_probe_with_pca,1.0,0.92
knn5_with_autoencoding,0.939375,0.92
lda_with_pca,0.993125,0.9175
knn1_with_autoencoding,1.0,0.9125
knn3_with_autoencoding,0.955625,0.9125
knn5_with_no_reduction,0.92625,0.9
knn1_with_no_reduction,1.0,0.895
knn3_with_no_reduction,0.944375,0.8925
decision_tree_with_pca,1.0,0.8775
decision_tree_with_autoencoding,1.0,0.875
decision_tree_with_no_reduction,1.0,0.8175
qda_with_pca,1.0,0.79
knn3_with_pca,0.935,0.7675
knn1_with_pca,1.0,0.76
knn5_with_pca,0.9225,0.76
naive_bayes_with_pca,0.928125,0.7175
