,train_accuracy,test_accuracy
svm_with_no_reduction,0.9875,0.9725
linear_probe_with_no_reduction,0.999375,0.9675
lda_with_autoencoding,0.956875,0.93
gradient_boosting_with_no_reduction,1.0,0.925
svm_with_autoencoding,0.985625,0.925
gradient_boosting_with_autoencoding,0.995,0.92
qda_with_autoencoding,0.994375,0.9175
random_forest_with_no_reduction,1.0,0.9
random_forest_with_autoencoding,1.0,0.8975
naive_bayes_with_no_reduction,0.904375,0.8825
linear_probe_with_autoencoding,1.0,0.875
naive_bayes_with_autoencoding,0.89375,0.8725
bagging_classifier_with_no_reduction,1.0,0.87
knn5_with_autoencoding,0.921875,0.87
bagging_classifier_with_autoencoding,1.0,0.865
knn3_with_autoencoding,0.9325,0.865
knn1_with_no_reduction,1.0,0.8225
lda_with_no_reduction,1.0,0.82
knn5_with_no_reduction,0.866875,0.815
gradient_boosting_with_pca,0.994375,0.81
knn3_with_no_reduction,0.898125,0.81
knn1_with_autoencoding,1.0,0.8075
decision_tree_with_no_reduction,1.0,0.7975
decision_tree_with_autoencoding,1.0,0.7925
bagging_classifier_with_pca,0.999375,0.78
svm_with_pca,0.986875,0.7675
random_forest_with_pca,1.0,0.755
lda_with_pca,0.964375,0.7075
linear_probe_with_pca,1.0,0.6875
decision_tree_with_pca,1.0,0.6225
knn3_with_pca,0.915,0.6125
knn5_with_pca,0.88375,0.6075
knn1_with_pca,1.0,0.6
qda_with_no_reduction,1.0,0.58
naive_bayes_with_pca,0.713125,0.5775
qda_with_pca,0.990625,0.5375
