,train_accuracy,test_accuracy
svm_with_no_reduction,0.986875,0.9575
svm_with_autoencoding,0.98375,0.93
lda_with_autoencoding,0.950625,0.9175
qda_with_autoencoding,0.99,0.9125
linear_probe_with_no_reduction,1.0,0.9
gradient_boosting_with_autoencoding,0.99625,0.8975
lda_with_no_reduction,0.9925,0.8975
linear_probe_with_autoencoding,0.9925,0.8975
random_forest_with_no_reduction,1.0,0.895
naive_bayes_with_autoencoding,0.875625,0.8925
random_forest_with_autoencoding,1.0,0.89
naive_bayes_with_no_reduction,0.90125,0.8875
gradient_boosting_with_no_reduction,1.0,0.88
knn5_with_autoencoding,0.89125,0.88
knn3_with_autoencoding,0.915625,0.8575
bagging_classifier_with_no_reduction,1.0,0.8525
knn1_with_autoencoding,1.0,0.8425
knn3_with_no_reduction,0.908125,0.8425
bagging_classifier_with_autoencoding,0.999375,0.83
bagging_classifier_with_pca,1.0,0.8275
knn5_with_no_reduction,0.874375,0.8275
knn1_with_no_reduction,1.0,0.825
random_forest_with_pca,1.0,0.815
gradient_boosting_with_pca,0.994375,0.8075
decision_tree_with_autoencoding,1.0,0.795
naive_bayes_with_pca,0.8625,0.78
decision_tree_with_no_reduction,1.0,0.77
decision_tree_with_pca,1.0,0.77
svm_with_pca,0.986875,0.77
lda_with_pca,0.96125,0.72
linear_probe_with_pca,1.0,0.69
qda_with_no_reduction,1.0,0.6625
knn5_with_pca,0.88,0.625
knn1_with_pca,1.0,0.61
knn3_with_pca,0.906875,0.5825
qda_with_pca,0.995625,0.5125
