,train_accuracy,test_accuracy
svm_with_no_reduction,0.985625,0.9875
svm_with_autoencoding,0.99125,0.985
linear_probe_with_autoencoding,0.975625,0.9825
linear_probe_with_no_reduction,1.0,0.98
lda_with_no_reduction,0.995625,0.98
gradient_boosting_with_no_reduction,1.0,0.9725
gradient_boosting_with_autoencoding,0.999375,0.97
qda_with_autoencoding,0.98625,0.97
lda_with_autoencoding,0.96,0.97
random_forest_with_autoencoding,1.0,0.965
random_forest_with_no_reduction,1.0,0.9575
naive_bayes_with_autoencoding,0.906875,0.955
naive_bayes_with_no_reduction,0.91625,0.945
bagging_classifier_with_no_reduction,1.0,0.925
bagging_classifier_with_autoencoding,1.0,0.9225
knn5_with_no_reduction,0.894375,0.9075
knn3_with_no_reduction,0.911875,0.8975
knn3_with_autoencoding,0.915,0.8925
knn5_with_autoencoding,0.895625,0.885
knn1_with_no_reduction,1.0,0.87
decision_tree_with_autoencoding,1.0,0.87
knn1_with_autoencoding,1.0,0.8675
qda_with_no_reduction,1.0,0.8375
decision_tree_with_no_reduction,1.0,0.825
random_forest_with_pca,1.0,0.7725
gradient_boosting_with_pca,0.999375,0.76
svm_with_pca,0.99875,0.7375
naive_bayes_with_pca,0.710625,0.7375
bagging_classifier_with_pca,0.999375,0.73
lda_with_pca,0.985625,0.725
linear_probe_with_pca,1.0,0.715
knn5_with_pca,0.861875,0.715
knn3_with_pca,0.895625,0.7075
knn1_with_pca,1.0,0.695
decision_tree_with_pca,1.0,0.645
qda_with_pca,1.0,0.5775
