,train_accuracy,test_accuracy
linear_probe_with_no_reduction,1.0,0.9625
svm_with_no_reduction,0.9925,0.9625
lda_with_autoencoding,0.960625,0.96
gradient_boosting_with_no_reduction,1.0,0.955
svm_with_autoencoding,0.98875,0.9525
random_forest_with_no_reduction,1.0,0.9425
linear_probe_with_autoencoding,1.0,0.94
gradient_boosting_with_autoencoding,0.998125,0.9225
bagging_classifier_with_no_reduction,1.0,0.92
naive_bayes_with_no_reduction,0.89875,0.91
random_forest_with_autoencoding,1.0,0.9075
qda_with_autoencoding,0.993125,0.905
bagging_classifier_with_autoencoding,1.0,0.8975
knn5_with_no_reduction,0.915625,0.885
knn3_with_no_reduction,0.925625,0.8825
naive_bayes_with_autoencoding,0.893125,0.8775
knn5_with_autoencoding,0.91375,0.87
knn3_with_autoencoding,0.9325,0.865
lda_with_no_reduction,1.0,0.86
svm_with_pca,0.9925,0.8475
knn5_with_pca,0.92375,0.845
decision_tree_with_autoencoding,1.0,0.8425
knn1_with_no_reduction,1.0,0.835
gradient_boosting_with_pca,0.994375,0.835
knn1_with_autoencoding,1.0,0.8275
knn3_with_pca,0.9325,0.8275
decision_tree_with_no_reduction,1.0,0.81
lda_with_pca,0.976875,0.8025
random_forest_with_pca,1.0,0.8
knn1_with_pca,1.0,0.79
bagging_classifier_with_pca,1.0,0.7875
linear_probe_with_pca,1.0,0.7825
naive_bayes_with_pca,0.7975,0.7025
qda_with_pca,0.99625,0.6975
decision_tree_with_pca,1.0,0.6875
qda_with_no_reduction,1.0,0.52
