,train_accuracy,test_accuracy
svm_with_no_reduction,0.984375,0.9175
lda_with_autoencoding,0.9325,0.9125
svm_with_autoencoding,0.97625,0.91
linear_probe_with_no_reduction,1.0,0.9025
lda_with_no_reduction,0.995,0.895
gradient_boosting_with_autoencoding,0.9925,0.89
linear_probe_with_autoencoding,0.95875,0.8825
random_forest_with_no_reduction,1.0,0.88
gradient_boosting_with_no_reduction,1.0,0.88
random_forest_with_autoencoding,1.0,0.8625
naive_bayes_with_no_reduction,0.848125,0.8425
bagging_classifier_with_autoencoding,1.0,0.84
bagging_classifier_with_no_reduction,1.0,0.83
naive_bayes_with_autoencoding,0.815,0.805
qda_with_autoencoding,0.9925,0.8
knn5_with_no_reduction,0.855,0.775
knn3_with_autoencoding,0.88625,0.7725
knn5_with_autoencoding,0.86625,0.7725
decision_tree_with_autoencoding,1.0,0.735
bagging_classifier_with_pca,1.0,0.72
gradient_boosting_with_pca,0.990625,0.72
knn1_with_autoencoding,1.0,0.7175
decision_tree_with_no_reduction,1.0,0.7125
knn3_with_no_reduction,0.88625,0.7125
knn1_with_no_reduction,1.0,0.705
knn5_with_pca,0.865,0.705
svm_with_pca,0.991875,0.6875
knn3_with_pca,0.89125,0.6875
knn1_with_pca,1.0,0.68
random_forest_with_pca,1.0,0.67
decision_tree_with_pca,1.0,0.655
lda_with_pca,0.965625,0.65
naive_bayes_with_pca,0.89125,0.63
linear_probe_with_pca,0.99875,0.615
qda_with_pca,0.999375,0.5825
qda_with_no_reduction,1.0,0.5375
