,train_accuracy,test_accuracy
lda_with_no_reduction,0.9965625,0.98875
svm_with_no_reduction,0.994375,0.98625
linear_probe_with_no_reduction,0.999375,0.985
svm_with_autoencoding,0.995625,0.965
lda_with_autoencoding,0.975,0.95125
linear_probe_with_autoencoding,0.9990625,0.9375
random_forest_with_autoencoding,1.0,0.92875
random_forest_with_no_reduction,1.0,0.90375
qda_with_autoencoding,0.9875,0.88875
naive_bayes_with_no_reduction,0.92375,0.885
qda_with_no_reduction,0.9975,0.8725
naive_bayes_with_autoencoding,0.8409375,0.80625
decision_tree_with_no_reduction,1.0,0.745
decision_tree_with_autoencoding,1.0,0.74375
knn3_with_autoencoding,0.85125,0.7175
knn1_with_autoencoding,1.0,0.715
knn1_with_no_reduction,1.0,0.70875
knn5_with_autoencoding,0.8071875,0.70875
knn3_with_no_reduction,0.8384375,0.69375
naive_bayes_with_pca,0.7353125,0.68625
knn5_with_no_reduction,0.8003125,0.685
random_forest_with_pca,1.0,0.63375
qda_with_pca,0.99125,0.62125
svm_with_pca,0.9996875,0.60125
lda_with_pca,0.991875,0.56375
linear_probe_with_pca,1.0,0.5575
decision_tree_with_pca,1.0,0.54625
knn1_with_pca,1.0,0.5025
knn3_with_pca,0.83625,0.4925
knn5_with_pca,0.7965625,0.4875
