,train_accuracy,test_accuracy
svm_with_autoencoding,0.99775,0.811
lda_with_autoencoding,0.97525,0.775
linear_probe_with_autoencoding,0.9945,0.743
lda_with_no_reduction,0.99625,0.729
naive_bayes_with_autoencoding,0.854,0.728
random_forest_with_autoencoding,1.0,0.7275
random_forest_with_no_reduction,1.0,0.723
svm_with_no_reduction,0.9955,0.708
naive_bayes_with_no_reduction,0.91675,0.704
linear_probe_with_no_reduction,0.999,0.6825
knn1_with_no_reduction,1.0,0.6805
knn5_with_no_reduction,0.7965,0.678
knn3_with_no_reduction,0.84325,0.6735
knn5_with_autoencoding,0.80175,0.6475
knn1_with_autoencoding,1.0,0.646
knn3_with_autoencoding,0.8405,0.6405
decision_tree_with_autoencoding,1.0,0.6245
decision_tree_with_no_reduction,1.0,0.611
qda_with_autoencoding,0.97975,0.6095
qda_with_no_reduction,0.9925,0.501
knn5_with_pca,0.796,0.489
naive_bayes_with_pca,0.733,0.484
knn3_with_pca,0.83575,0.482
knn1_with_pca,1.0,0.4755
qda_with_pca,0.98675,0.4375
linear_probe_with_pca,1.0,0.356
svm_with_pca,0.9995,0.3495
lda_with_pca,0.99025,0.3475
decision_tree_with_pca,1.0,0.3425
random_forest_with_pca,1.0,0.3205
