,train_accuracy,test_accuracy
svm_with_autoencoding,0.9985,0.791
knn5_with_no_reduction,0.7965,0.785
knn3_with_no_reduction,0.84325,0.7745
random_forest_with_autoencoding,1.0,0.7655
lda_with_autoencoding,0.97475,0.755
naive_bayes_with_no_reduction,0.91675,0.7455
knn1_with_no_reduction,1.0,0.743
linear_probe_with_autoencoding,0.99925,0.736
random_forest_with_no_reduction,1.0,0.7335
naive_bayes_with_autoencoding,0.84775,0.727
lda_with_no_reduction,0.99625,0.725
svm_with_no_reduction,0.9955,0.719
linear_probe_with_no_reduction,0.999,0.7025
qda_with_autoencoding,0.98425,0.6705
knn3_with_autoencoding,0.8485,0.6625
knn1_with_autoencoding,1.0,0.652
knn5_with_autoencoding,0.80925,0.6515
naive_bayes_with_pca,0.7335,0.6325
decision_tree_with_autoencoding,1.0,0.6295
decision_tree_with_no_reduction,1.0,0.6055
random_forest_with_pca,1.0,0.5545
qda_with_pca,0.985,0.551
knn1_with_pca,1.0,0.546
knn3_with_pca,0.83825,0.542
svm_with_pca,0.9995,0.5395
qda_with_no_reduction,0.9925,0.5375
knn5_with_pca,0.795,0.531
decision_tree_with_pca,1.0,0.5195
lda_with_pca,0.9885,0.4905
linear_probe_with_pca,1.0,0.489
