,train_accuracy,test_accuracy
lda_with_no_reduction,0.9975,0.721
lda_with_autoencoding,0.989,0.6855
linear_probe_with_autoencoding,1.0,0.6755
svm_with_autoencoding,0.9995,0.6605
linear_probe_with_no_reduction,0.9995,0.659
svm_with_no_reduction,0.996,0.658
naive_bayes_with_no_reduction,0.9605,0.65675
random_forest_with_no_reduction,1.0,0.636
qda_with_autoencoding,0.9965,0.608
random_forest_with_autoencoding,1.0,0.60775
knn5_with_no_reduction,0.929,0.59175
knn3_with_no_reduction,0.9415,0.591
qda_with_no_reduction,1.0,0.58275
knn1_with_no_reduction,1.0,0.5755
decision_tree_with_autoencoding,1.0,0.5735
knn3_with_autoencoding,0.949,0.57325
knn5_with_autoencoding,0.939,0.57325
decision_tree_with_no_reduction,1.0,0.56725
knn1_with_autoencoding,1.0,0.564
naive_bayes_with_autoencoding,0.9325,0.55575
knn3_with_pca,0.9445,0.456
knn5_with_pca,0.932,0.45575
knn1_with_pca,1.0,0.4435
random_forest_with_pca,1.0,0.426
decision_tree_with_pca,1.0,0.42075
qda_with_pca,0.998,0.40225
naive_bayes_with_pca,0.915,0.39725
svm_with_pca,0.9995,0.39375
linear_probe_with_pca,1.0,0.3905
lda_with_pca,0.9945,0.39025
