,train_accuracy,test_accuracy
svm_with_no_reduction,0.9975,0.985
svm_with_autoencoding,0.99875,0.9825
lda_with_autoencoding,0.98875,0.9825
linear_probe_with_no_reduction,1.0,0.98
lda_with_no_reduction,0.99875,0.9775
linear_probe_with_autoencoding,1.0,0.97
naive_bayes_with_no_reduction,0.960625,0.965
qda_with_autoencoding,0.999375,0.96
random_forest_with_autoencoding,1.0,0.9525
random_forest_with_no_reduction,1.0,0.95
random_forest_with_pca,1.0,0.9325
knn5_with_autoencoding,0.945,0.93
qda_with_no_reduction,1.0,0.9275
svm_with_pca,0.999375,0.925
naive_bayes_with_autoencoding,0.9375,0.925
linear_probe_with_pca,1.0,0.92
knn3_with_autoencoding,0.946875,0.9175
lda_with_pca,0.995625,0.915
knn5_with_no_reduction,0.92125,0.9075
knn1_with_autoencoding,1.0,0.9
knn1_with_no_reduction,1.0,0.8875
knn3_with_no_reduction,0.941875,0.885
decision_tree_with_pca,1.0,0.8825
decision_tree_with_no_reduction,1.0,0.8325
knn1_with_pca,1.0,0.8175
decision_tree_with_autoencoding,1.0,0.81
qda_with_pca,1.0,0.8
knn3_with_pca,0.9425,0.7975
knn5_with_pca,0.921875,0.7975
naive_bayes_with_pca,0.92875,0.7225
