,train_accuracy,test_accuracy
naive_bayes_with_no_reduction,0.9605,0.944
svm_with_no_reduction,0.996,0.927
linear_probe_with_autoencoding,1.0,0.9125
linear_probe_with_no_reduction,0.9995,0.9045
svm_with_autoencoding,0.9985,0.9005
lda_with_autoencoding,0.9865,0.8975
svm_with_pca,0.9995,0.8965
random_forest_with_pca,1.0,0.8775
random_forest_with_autoencoding,1.0,0.856
decision_tree_with_pca,1.0,0.8535
linear_probe_with_pca,1.0,0.8495
naive_bayes_with_autoencoding,0.934,0.8435
lda_with_pca,0.994,0.8415
random_forest_with_no_reduction,1.0,0.8395
naive_bayes_with_pca,0.9155,0.826
lda_with_no_reduction,0.9975,0.82
qda_with_autoencoding,0.996,0.798
decision_tree_with_autoencoding,1.0,0.7235
knn3_with_pca,0.943,0.7085
knn5_with_pca,0.934,0.7025
knn1_with_pca,1.0,0.7005
knn1_with_autoencoding,1.0,0.7005
knn3_with_autoencoding,0.951,0.691
decision_tree_with_no_reduction,1.0,0.6865
knn5_with_autoencoding,0.9425,0.686
qda_with_pca,0.998,0.674
knn1_with_no_reduction,1.0,0.6695
qda_with_no_reduction,1.0,0.657
knn3_with_no_reduction,0.9415,0.6495
knn5_with_no_reduction,0.929,0.6445
