,train_accuracy,test_accuracy
lda_with_autoencoding,0.997,0.6795
linear_probe_with_autoencoding,1.0,0.67325
svm_with_autoencoding,0.9995,0.6665
qda_with_no_reduction,1.0,0.663
naive_bayes_with_pca,0.834,0.6565
qda_with_autoencoding,1.0,0.6525
naive_bayes_with_autoencoding,0.9735,0.65075
naive_bayes_with_no_reduction,0.9785,0.6435
random_forest_with_autoencoding,1.0,0.6395
random_forest_with_no_reduction,1.0,0.6275
decision_tree_with_autoencoding,1.0,0.61875
svm_with_no_reduction,0.9995,0.6135
linear_probe_with_no_reduction,1.0,0.59425
knn5_with_autoencoding,0.97,0.592
knn3_with_autoencoding,0.978,0.59
knn1_with_autoencoding,1.0,0.5895
lda_with_no_reduction,0.9995,0.58925
qda_with_pca,1.0,0.56925
knn3_with_no_reduction,0.968,0.5515
knn1_with_no_reduction,1.0,0.55125
knn5_with_no_reduction,0.957,0.55
decision_tree_with_no_reduction,1.0,0.548
decision_tree_with_pca,1.0,0.51275
svm_with_pca,1.0,0.501
lda_with_pca,0.9995,0.4995
random_forest_with_pca,1.0,0.497
linear_probe_with_pca,1.0,0.491
knn5_with_pca,0.94,0.4735
knn1_with_pca,1.0,0.47325
knn3_with_pca,0.9485,0.471
