,train_accuracy,test_accuracy
linear_probe_with_no_reduction,1.0,0.9975
svm_with_no_reduction,0.999375,0.9975
lda_with_no_reduction,0.999375,0.9975
svm_with_autoencoding,1.0,0.995
lda_with_autoencoding,0.998125,0.99
linear_probe_with_autoencoding,1.0,0.9875
random_forest_with_autoencoding,1.0,0.9825
naive_bayes_with_no_reduction,0.9775,0.9775
random_forest_with_no_reduction,1.0,0.9725
naive_bayes_with_autoencoding,0.976875,0.9725
random_forest_with_pca,1.0,0.9675
qda_with_autoencoding,1.0,0.9625
decision_tree_with_pca,1.0,0.9525
knn5_with_autoencoding,0.973125,0.95
knn3_with_autoencoding,0.976875,0.9425
svm_with_pca,1.0,0.9375
knn1_with_autoencoding,1.0,0.9175
lda_with_pca,0.999375,0.915
knn5_with_no_reduction,0.965,0.9125
linear_probe_with_pca,1.0,0.9025
knn3_with_no_reduction,0.97,0.9025
knn1_with_no_reduction,1.0,0.8975
qda_with_no_reduction,1.0,0.8875
decision_tree_with_autoencoding,1.0,0.8775
naive_bayes_with_pca,0.85,0.8325
decision_tree_with_no_reduction,1.0,0.83
knn1_with_pca,1.0,0.785
knn5_with_pca,0.935,0.775
knn3_with_pca,0.945,0.7625
qda_with_pca,1.0,0.685
