,train_accuracy,test_accuracy
svm_with_no_reduction,0.996875,0.93875
linear_probe_with_no_reduction,0.999375,0.93375
svm_with_autoencoding,0.9896875,0.90125
random_forest_with_no_reduction,1.0,0.89125
lda_with_autoencoding,0.9365625,0.87625
qda_with_autoencoding,0.9825,0.87125
linear_probe_with_autoencoding,0.9478125,0.8625
lda_with_no_reduction,1.0,0.85625
random_forest_with_autoencoding,1.0,0.85
naive_bayes_with_no_reduction,0.84125,0.8275
naive_bayes_with_autoencoding,0.83625,0.79125
naive_bayes_with_pca,0.79375,0.765
decision_tree_with_no_reduction,1.0,0.74375
knn1_with_autoencoding,1.0,0.69875
knn3_with_autoencoding,0.8121875,0.68375
decision_tree_with_autoencoding,1.0,0.6775
knn5_with_autoencoding,0.7584375,0.6725
knn1_with_no_reduction,1.0,0.65375
knn3_with_no_reduction,0.72625,0.605
knn5_with_no_reduction,0.645,0.585
random_forest_with_pca,1.0,0.56625
svm_with_pca,0.9965625,0.55125
knn3_with_pca,0.7409375,0.52125
knn5_with_pca,0.66125,0.52
knn1_with_pca,1.0,0.50875
qda_with_no_reduction,1.0,0.505
qda_with_pca,0.9996875,0.49375
lda_with_pca,0.986875,0.48875
linear_probe_with_pca,1.0,0.48375
decision_tree_with_pca,1.0,0.43625
