,train_accuracy,test_accuracy
svm_with_no_reduction,0.99575,0.7125
linear_probe_with_no_reduction,0.99975,0.7055
random_forest_with_no_reduction,1.0,0.6935
svm_with_autoencoding,0.9895,0.677
lda_with_no_reduction,0.999,0.6755
linear_probe_with_autoencoding,0.94475,0.6675
lda_with_autoencoding,0.9335,0.661
random_forest_with_autoencoding,1.0,0.6265
naive_bayes_with_pca,0.80525,0.6115
decision_tree_with_no_reduction,1.0,0.6085
qda_with_autoencoding,0.97725,0.5865
naive_bayes_with_autoencoding,0.83,0.5855
knn3_with_autoencoding,0.8145,0.583
random_forest_with_pca,1.0,0.5795
knn5_with_autoencoding,0.758,0.5795
knn1_with_autoencoding,1.0,0.5765
knn1_with_no_reduction,1.0,0.569
naive_bayes_with_no_reduction,0.83475,0.559
decision_tree_with_autoencoding,1.0,0.5455
knn3_with_no_reduction,0.73275,0.545
knn5_with_no_reduction,0.64625,0.541
decision_tree_with_pca,1.0,0.5315
svm_with_pca,0.99725,0.529
knn1_with_pca,1.0,0.5135
knn3_with_pca,0.7315,0.513
knn5_with_pca,0.64975,0.5085
qda_with_pca,1.0,0.501
qda_with_no_reduction,1.0,0.489
linear_probe_with_pca,1.0,0.4835
lda_with_pca,0.9865,0.4825
