,train_accuracy,test_accuracy
naive_bayes_with_pca,0.688,0.72625
linear_probe_with_no_reduction,0.9995,0.66725
svm_with_no_reduction,0.993,0.656
lda_with_autoencoding,0.9615,0.62525
linear_probe_with_autoencoding,1.0,0.61725
svm_with_autoencoding,0.989,0.6105
random_forest_with_pca,1.0,0.587
naive_bayes_with_no_reduction,0.91,0.567
decision_tree_with_no_reduction,1.0,0.55725
decision_tree_with_autoencoding,1.0,0.55325
qda_with_autoencoding,0.994,0.553
random_forest_with_no_reduction,1.0,0.5525
random_forest_with_autoencoding,1.0,0.5425
knn5_with_no_reduction,0.9,0.54075
knn1_with_no_reduction,1.0,0.53825
knn3_with_no_reduction,0.917,0.53125
knn5_with_autoencoding,0.935,0.53075
knn3_with_autoencoding,0.953,0.52675
naive_bayes_with_autoencoding,0.899,0.52125
svm_with_pca,0.9945,0.52025
knn1_with_autoencoding,1.0,0.5155
knn3_with_pca,0.908,0.514
knn1_with_pca,1.0,0.5105
knn5_with_pca,0.8795,0.51025
qda_with_no_reduction,1.0,0.509
qda_with_pca,1.0,0.50775
lda_with_no_reduction,1.0,0.5045
decision_tree_with_pca,1.0,0.4975
linear_probe_with_pca,1.0,0.4925
lda_with_pca,0.995,0.492
