,train_accuracy,test_accuracy
svm_with_no_reduction,0.991875,0.975
linear_probe_with_no_reduction,0.999375,0.965
lda_with_autoencoding,0.966875,0.9525
svm_with_autoencoding,0.986875,0.9475
qda_with_autoencoding,0.994375,0.94
linear_probe_with_autoencoding,1.0,0.935
random_forest_with_autoencoding,1.0,0.9275
random_forest_with_no_reduction,1.0,0.905
naive_bayes_with_no_reduction,0.910625,0.905
naive_bayes_with_autoencoding,0.89125,0.905
knn5_with_autoencoding,0.925625,0.8775
knn3_with_no_reduction,0.904375,0.865
knn3_with_autoencoding,0.9325,0.86
knn5_with_no_reduction,0.888125,0.855
knn1_with_no_reduction,1.0,0.85
knn1_with_autoencoding,1.0,0.82
lda_with_no_reduction,0.999375,0.8175
decision_tree_with_autoencoding,1.0,0.8125
decision_tree_with_no_reduction,1.0,0.8
svm_with_pca,0.990625,0.74
decision_tree_with_pca,1.0,0.7025
random_forest_with_pca,1.0,0.6825
linear_probe_with_pca,1.0,0.65
lda_with_pca,0.98125,0.6375
knn5_with_pca,0.880625,0.6225
knn1_with_pca,1.0,0.615
knn3_with_pca,0.909375,0.595
naive_bayes_with_pca,0.695625,0.5575
qda_with_no_reduction,1.0,0.555
qda_with_pca,0.9975,0.505
