,train_accuracy,test_accuracy
linear_probe_with_autoencoding,1.0,0.699
naive_bayes_with_no_reduction,0.91,0.66
linear_probe_with_no_reduction,0.9995,0.6505
svm_with_autoencoding,0.99,0.644
lda_with_autoencoding,0.964,0.6415
random_forest_with_pca,1.0,0.6355
svm_with_no_reduction,0.993,0.635
random_forest_with_no_reduction,1.0,0.6215
knn5_with_autoencoding,0.9305,0.6195
naive_bayes_with_autoencoding,0.906,0.6155
knn1_with_no_reduction,1.0,0.615
knn3_with_no_reduction,0.917,0.615
random_forest_with_autoencoding,1.0,0.6095
knn3_with_autoencoding,0.9405,0.608
knn5_with_no_reduction,0.9,0.606
knn1_with_autoencoding,1.0,0.598
qda_with_autoencoding,0.9925,0.5975
svm_with_pca,0.994,0.593
decision_tree_with_pca,1.0,0.566
decision_tree_with_autoencoding,1.0,0.5625
linear_probe_with_pca,1.0,0.561
knn1_with_pca,1.0,0.557
knn3_with_pca,0.91,0.539
lda_with_pca,0.9945,0.5375
knn5_with_pca,0.877,0.527
qda_with_no_reduction,1.0,0.519
qda_with_pca,1.0,0.5035
decision_tree_with_no_reduction,1.0,0.4995
naive_bayes_with_pca,0.6895,0.4995
lda_with_no_reduction,1.0,0.4745
