,train_accuracy,test_accuracy
linear_probe_with_no_reduction,1.0,0.597
linear_probe_with_autoencoding,1.0,0.58225
lda_with_autoencoding,0.982,0.58075
svm_with_autoencoding,0.9975,0.57875
svm_with_no_reduction,0.998,0.57675
qda_with_autoencoding,0.997,0.54975
naive_bayes_with_autoencoding,0.9,0.53975
random_forest_with_no_reduction,1.0,0.5395
random_forest_with_autoencoding,1.0,0.53675
knn5_with_autoencoding,0.938,0.5365
lda_with_no_reduction,1.0,0.536
knn1_with_autoencoding,1.0,0.531
decision_tree_with_autoencoding,1.0,0.5305
knn3_with_autoencoding,0.9485,0.53
decision_tree_with_no_reduction,1.0,0.5165
qda_with_no_reduction,1.0,0.5025
naive_bayes_with_no_reduction,0.923,0.499
knn3_with_no_reduction,0.944,0.4975
knn1_with_no_reduction,1.0,0.496
knn5_with_no_reduction,0.9335,0.49225
decision_tree_with_pca,1.0,0.47125
linear_probe_with_pca,1.0,0.465
qda_with_pca,1.0,0.457
lda_with_pca,1.0,0.45625
knn1_with_pca,1.0,0.455
knn3_with_pca,0.9415,0.45275
svm_with_pca,0.998,0.44975
knn5_with_pca,0.9275,0.44725
random_forest_with_pca,1.0,0.4385
naive_bayes_with_pca,0.8165,0.26675
