,train_accuracy,test_accuracy
linear_probe_with_autoencoding,1.0,0.6645
svm_with_no_reduction,0.998,0.6575
linear_probe_with_no_reduction,1.0,0.656
svm_with_autoencoding,0.9935,0.6455
lda_with_autoencoding,0.9745,0.6255
naive_bayes_with_no_reduction,0.923,0.6195
naive_bayes_with_autoencoding,0.909,0.617
knn5_with_autoencoding,0.9375,0.612
random_forest_with_autoencoding,1.0,0.608
knn3_with_autoencoding,0.9475,0.608
knn5_with_pca,0.93,0.608
knn3_with_pca,0.9425,0.604
knn1_with_autoencoding,1.0,0.602
decision_tree_with_pca,1.0,0.5985
knn5_with_no_reduction,0.9335,0.5965
knn1_with_no_reduction,1.0,0.596
knn3_with_no_reduction,0.944,0.5945
qda_with_autoencoding,0.995,0.5935
random_forest_with_no_reduction,1.0,0.586
random_forest_with_pca,1.0,0.586
knn1_with_pca,1.0,0.5835
decision_tree_with_autoencoding,1.0,0.58
svm_with_pca,0.998,0.5685
linear_probe_with_pca,1.0,0.5515
lda_with_pca,1.0,0.5365
lda_with_no_reduction,1.0,0.525
decision_tree_with_no_reduction,1.0,0.516
qda_with_no_reduction,1.0,0.493
qda_with_pca,1.0,0.483
naive_bayes_with_pca,0.8155,0.4635
