,train_accuracy,test_accuracy
linear_probe_with_no_reduction,1.0,0.9725
svm_with_no_reduction,0.998125,0.9725
lda_with_autoencoding,0.975,0.97
svm_with_autoencoding,0.99625,0.9675
linear_probe_with_autoencoding,1.0,0.965
random_forest_with_no_reduction,1.0,0.9425
naive_bayes_with_no_reduction,0.921875,0.9325
qda_with_autoencoding,0.996875,0.9275
knn3_with_no_reduction,0.94125,0.9175
random_forest_with_autoencoding,1.0,0.915
naive_bayes_with_autoencoding,0.904375,0.9125
knn5_with_autoencoding,0.930625,0.91
knn5_with_no_reduction,0.925625,0.9
knn3_with_autoencoding,0.948125,0.895
decision_tree_with_no_reduction,1.0,0.885
knn1_with_no_reduction,1.0,0.8825
knn1_with_autoencoding,1.0,0.8825
knn5_with_pca,0.93375,0.8725
lda_with_no_reduction,1.0,0.855
knn3_with_pca,0.950625,0.85
svm_with_pca,0.9975,0.84
lda_with_pca,0.99625,0.8275
linear_probe_with_pca,1.0,0.8225
decision_tree_with_autoencoding,1.0,0.82
random_forest_with_pca,1.0,0.81
knn1_with_pca,1.0,0.7875
decision_tree_with_pca,1.0,0.765
naive_bayes_with_pca,0.88875,0.75
qda_with_pca,1.0,0.6875
qda_with_no_reduction,1.0,0.5125
