,train_accuracy,test_accuracy
lda_with_no_reduction,0.9459375,0.855
svm_with_no_reduction,0.9815625,0.85375
linear_probe_with_no_reduction,0.9990625,0.82625
svm_with_autoencoding,0.9434375,0.78875
naive_bayes_with_no_reduction,0.8034375,0.76
random_forest_with_no_reduction,1.0,0.74375
lda_with_autoencoding,0.7915625,0.74125
linear_probe_with_autoencoding,0.7978125,0.74
random_forest_with_autoencoding,1.0,0.73625
qda_with_no_reduction,0.9996875,0.73375
qda_with_autoencoding,0.926875,0.7175
knn1_with_autoencoding,1.0,0.67875
naive_bayes_with_autoencoding,0.710625,0.67375
knn1_with_no_reduction,1.0,0.66875
decision_tree_with_autoencoding,1.0,0.635
knn3_with_autoencoding,0.805,0.6325
knn3_with_no_reduction,0.7775,0.60375
knn5_with_autoencoding,0.75,0.5925
knn5_with_no_reduction,0.7175,0.5875
random_forest_with_pca,1.0,0.58625
qda_with_pca,0.9875,0.57875
decision_tree_with_no_reduction,1.0,0.565
svm_with_pca,0.985,0.54875
knn1_with_pca,1.0,0.5475
knn3_with_pca,0.7809375,0.5475
knn5_with_pca,0.726875,0.54125
linear_probe_with_pca,0.9128125,0.5325
lda_with_pca,0.896875,0.52875
decision_tree_with_pca,1.0,0.52375
naive_bayes_with_pca,0.73,0.51125
