,train_accuracy,test_accuracy
naive_bayes_with_pca,0.72475,0.627
knn3_with_pca,0.7935,0.538
knn1_with_pca,1.0,0.5355
random_forest_with_pca,1.0,0.532
knn5_with_pca,0.7385,0.5265
qda_with_pca,0.98175,0.5245
lda_with_no_reduction,0.93825,0.5065
decision_tree_with_pca,1.0,0.4975
decision_tree_with_no_reduction,1.0,0.496
knn1_with_no_reduction,1.0,0.4955
linear_probe_with_no_reduction,0.97575,0.4875
linear_probe_with_autoencoding,0.8045,0.486
svm_with_no_reduction,0.9815,0.485
knn5_with_no_reduction,0.7295,0.48
knn3_with_no_reduction,0.78725,0.4765
qda_with_no_reduction,0.99925,0.476
knn1_with_autoencoding,1.0,0.4755
lda_with_autoencoding,0.80475,0.475
decision_tree_with_autoencoding,1.0,0.4715
svm_with_autoencoding,0.95125,0.4515
svm_with_pca,0.98525,0.45
knn3_with_autoencoding,0.81825,0.45
lda_with_pca,0.89475,0.4445
linear_probe_with_pca,0.9115,0.4405
random_forest_with_no_reduction,1.0,0.4385
knn5_with_autoencoding,0.761,0.435
random_forest_with_autoencoding,1.0,0.431
qda_with_autoencoding,0.92,0.4305
naive_bayes_with_no_reduction,0.7945,0.418
naive_bayes_with_autoencoding,0.7135,0.3595
