,train_accuracy,test_accuracy
linear_probe_with_autoencoding,0.79475,0.5865
lda_with_autoencoding,0.79175,0.581
knn5_with_no_reduction,0.7295,0.5775
knn1_with_no_reduction,1.0,0.5755
knn3_with_no_reduction,0.78725,0.5755
svm_with_autoencoding,0.9495,0.566
svm_with_no_reduction,0.9815,0.556
naive_bayes_with_no_reduction,0.7945,0.5465
lda_with_no_reduction,0.93825,0.5405
random_forest_with_autoencoding,1.0,0.54
linear_probe_with_no_reduction,0.97575,0.539
linear_probe_with_pca,0.91075,0.536
knn5_with_autoencoding,0.7625,0.536
knn3_with_autoencoding,0.8225,0.534
knn1_with_autoencoding,1.0,0.532
random_forest_with_no_reduction,1.0,0.5295
lda_with_pca,0.893,0.5275
naive_bayes_with_autoencoding,0.71275,0.52
qda_with_autoencoding,0.9185,0.5095
naive_bayes_with_pca,0.72475,0.5025
qda_with_no_reduction,0.99925,0.502
decision_tree_with_no_reduction,1.0,0.5005
decision_tree_with_pca,1.0,0.5
qda_with_pca,0.98225,0.4885
svm_with_pca,0.98275,0.4825
random_forest_with_pca,1.0,0.4785
decision_tree_with_autoencoding,1.0,0.469
knn1_with_pca,1.0,0.444
knn5_with_pca,0.7355,0.4425
knn3_with_pca,0.79225,0.4345
