,train_accuracy,test_accuracy
naive_bayes_with_pca,0.8605,0.57775
lda_with_no_reduction,0.991,0.53725
linear_probe_with_no_reduction,1.0,0.52375
svm_with_no_reduction,0.9865,0.50975
decision_tree_with_no_reduction,1.0,0.50925
qda_with_pca,0.9975,0.50525
qda_with_no_reduction,1.0,0.502
linear_probe_with_autoencoding,0.976,0.50075
knn5_with_no_reduction,0.889,0.50025
random_forest_with_no_reduction,1.0,0.49925
knn3_with_no_reduction,0.9195,0.49925
naive_bayes_with_no_reduction,0.8965,0.49925
qda_with_autoencoding,0.9895,0.494
knn5_with_pca,0.888,0.49075
knn3_with_pca,0.9145,0.4895
lda_with_autoencoding,0.945,0.48775
decision_tree_with_autoencoding,1.0,0.48675
knn1_with_no_reduction,1.0,0.484
random_forest_with_pca,1.0,0.484
svm_with_autoencoding,0.986,0.48125
knn3_with_autoencoding,0.93,0.48075
random_forest_with_autoencoding,1.0,0.47725
knn5_with_autoencoding,0.9085,0.47725
knn1_with_pca,1.0,0.475
knn1_with_autoencoding,1.0,0.47275
lda_with_pca,0.971,0.46925
naive_bayes_with_autoencoding,0.88,0.46875
linear_probe_with_pca,1.0,0.46625
svm_with_pca,0.991,0.46425
decision_tree_with_pca,1.0,0.46
