,train_accuracy,test_accuracy
svm_with_no_reduction,0.986875,0.9575
svm_with_autoencoding,0.979375,0.945
lda_with_autoencoding,0.945,0.9425
linear_probe_with_autoencoding,0.978125,0.925
linear_probe_with_no_reduction,1.0,0.9
naive_bayes_with_autoencoding,0.880625,0.8975
qda_with_autoencoding,0.990625,0.895
lda_with_no_reduction,0.9925,0.89
random_forest_with_no_reduction,1.0,0.8875
knn5_with_autoencoding,0.901875,0.8875
naive_bayes_with_no_reduction,0.899375,0.8875
random_forest_with_autoencoding,1.0,0.8825
knn1_with_autoencoding,1.0,0.88
knn3_with_autoencoding,0.923125,0.87
knn3_with_no_reduction,0.91,0.845
knn5_with_no_reduction,0.879375,0.835
random_forest_with_pca,1.0,0.8325
knn1_with_no_reduction,1.0,0.825
naive_bayes_with_pca,0.8625,0.7875
svm_with_pca,0.990625,0.785
decision_tree_with_no_reduction,1.0,0.77
decision_tree_with_autoencoding,1.0,0.77
decision_tree_with_pca,1.0,0.7625
lda_with_pca,0.9675,0.75
linear_probe_with_pca,1.0,0.7225
qda_with_no_reduction,1.0,0.6575
knn5_with_pca,0.876875,0.6225
knn3_with_pca,0.9075,0.62
knn1_with_pca,1.0,0.6125
qda_with_pca,0.996875,0.5075
