,train_accuracy,test_accuracy
lda_with_no_reduction,0.991,0.699
linear_probe_with_no_reduction,1.0,0.665
lda_with_autoencoding,0.944,0.656
linear_probe_with_autoencoding,0.964,0.6365
svm_with_no_reduction,0.9865,0.6205
svm_with_autoencoding,0.9855,0.6185
random_forest_with_no_reduction,1.0,0.598
naive_bayes_with_no_reduction,0.8965,0.5915
decision_tree_with_no_reduction,1.0,0.5805
qda_with_autoencoding,0.9875,0.572
random_forest_with_autoencoding,1.0,0.5675
knn3_with_autoencoding,0.929,0.562
knn5_with_autoencoding,0.902,0.562
knn1_with_autoencoding,1.0,0.56
knn1_with_no_reduction,1.0,0.5595
decision_tree_with_autoencoding,1.0,0.558
knn5_with_no_reduction,0.889,0.545
knn3_with_no_reduction,0.9195,0.543
qda_with_no_reduction,1.0,0.541
naive_bayes_with_autoencoding,0.877,0.5145
naive_bayes_with_pca,0.859,0.4745
qda_with_pca,0.9975,0.455
knn5_with_pca,0.8855,0.419
knn3_with_pca,0.913,0.4175
knn1_with_pca,1.0,0.415
decision_tree_with_pca,1.0,0.3235
linear_probe_with_pca,1.0,0.3225
svm_with_pca,0.992,0.318
lda_with_pca,0.9705,0.313
random_forest_with_pca,1.0,0.304
