,train_accuracy,test_accuracy
lda_with_no_reduction,0.988,0.54325
svm_with_no_reduction,0.985,0.53775
random_forest_with_autoencoding,1.0,0.5375
lda_with_pca,0.969,0.53675
linear_probe_with_no_reduction,1.0,0.536
lda_with_autoencoding,0.9395,0.5355
svm_with_autoencoding,0.978,0.53475
svm_with_pca,0.991,0.533
linear_probe_with_pca,1.0,0.532
naive_bayes_with_autoencoding,0.828,0.5315
linear_probe_with_autoencoding,0.9585,0.53125
knn5_with_no_reduction,0.861,0.5295
random_forest_with_no_reduction,1.0,0.52625
decision_tree_with_autoencoding,1.0,0.52625
random_forest_with_pca,1.0,0.52525
knn3_with_no_reduction,0.885,0.5235
knn5_with_pca,0.8665,0.5165
naive_bayes_with_no_reduction,0.851,0.5125
knn5_with_autoencoding,0.873,0.51025
decision_tree_with_no_reduction,1.0,0.51
knn1_with_no_reduction,1.0,0.50975
knn3_with_pca,0.881,0.5095
qda_with_autoencoding,0.988,0.50825
knn1_with_pca,1.0,0.5045
qda_with_no_reduction,1.0,0.50425
decision_tree_with_pca,1.0,0.50125
knn1_with_autoencoding,1.0,0.498
knn3_with_autoencoding,0.8845,0.497
qda_with_pca,0.9995,0.4955
naive_bayes_with_pca,0.8805,0.3905
