,train_accuracy,test_accuracy
svm_with_autoencoding,0.9805,0.7305
lda_with_no_reduction,0.988,0.703
linear_probe_with_no_reduction,1.0,0.7
linear_probe_with_autoencoding,0.9615,0.6875
svm_with_no_reduction,0.985,0.6825
lda_with_autoencoding,0.939,0.6805
random_forest_with_no_reduction,1.0,0.6465
random_forest_with_autoencoding,1.0,0.632
qda_with_autoencoding,0.989,0.6295
decision_tree_with_no_reduction,1.0,0.621
naive_bayes_with_autoencoding,0.822,0.6175
knn1_with_no_reduction,1.0,0.6085
knn3_with_no_reduction,0.885,0.6035
knn1_with_autoencoding,1.0,0.5955
knn3_with_autoencoding,0.8805,0.5855
knn5_with_no_reduction,0.861,0.585
qda_with_no_reduction,1.0,0.583
decision_tree_with_autoencoding,1.0,0.579
knn5_with_autoencoding,0.862,0.5765
naive_bayes_with_no_reduction,0.851,0.561
qda_with_pca,0.9995,0.435
linear_probe_with_pca,1.0,0.361
decision_tree_with_pca,1.0,0.3505
lda_with_pca,0.9685,0.346
knn1_with_pca,1.0,0.325
random_forest_with_pca,1.0,0.3225
svm_with_pca,0.9905,0.3135
naive_bayes_with_pca,0.8785,0.2985
knn3_with_pca,0.881,0.298
knn5_with_pca,0.8665,0.2805
