,train_accuracy,test_accuracy
svm_with_no_reduction,0.98375,0.92
svm_with_autoencoding,0.976875,0.9075
lda_with_autoencoding,0.938125,0.9025
linear_probe_with_no_reduction,1.0,0.9
lda_with_no_reduction,0.99625,0.8975
random_forest_with_no_reduction,1.0,0.895
random_forest_with_autoencoding,1.0,0.865
linear_probe_with_autoencoding,0.960625,0.86
naive_bayes_with_no_reduction,0.849375,0.8425
qda_with_autoencoding,0.9925,0.8175
naive_bayes_with_autoencoding,0.839375,0.8125
knn5_with_autoencoding,0.866875,0.79
knn5_with_no_reduction,0.856875,0.765
knn3_with_autoencoding,0.89625,0.76
decision_tree_with_autoencoding,1.0,0.755
knn3_with_no_reduction,0.893125,0.72
knn1_with_no_reduction,1.0,0.715
random_forest_with_pca,1.0,0.7125
decision_tree_with_no_reduction,1.0,0.71
knn1_with_autoencoding,1.0,0.7025
svm_with_pca,0.993125,0.7025
decision_tree_with_pca,1.0,0.66
knn3_with_pca,0.884375,0.65
lda_with_pca,0.969375,0.6475
linear_probe_with_pca,1.0,0.645
knn5_with_pca,0.869375,0.64
knn1_with_pca,1.0,0.635
naive_bayes_with_pca,0.87375,0.62
qda_with_pca,0.999375,0.5625
qda_with_no_reduction,1.0,0.535
