,train_accuracy,test_accuracy
svm_with_autoencoding,0.98375,0.87
linear_probe_with_no_reduction,1.0,0.8525
svm_with_no_reduction,0.973125,0.85
qda_with_autoencoding,0.9753125,0.82
random_forest_with_autoencoding,1.0,0.7825
random_forest_with_no_reduction,1.0,0.77625
knn5_with_autoencoding,0.819375,0.7575
knn1_with_autoencoding,1.0,0.74875
linear_probe_with_autoencoding,0.789375,0.74125
lda_with_autoencoding,0.784375,0.73875
lda_with_no_reduction,1.0,0.735
knn3_with_autoencoding,0.8546875,0.735
naive_bayes_with_autoencoding,0.7053125,0.69625
naive_bayes_with_no_reduction,0.7353125,0.685
knn1_with_no_reduction,1.0,0.65875
knn3_with_no_reduction,0.7834375,0.625
decision_tree_with_no_reduction,1.0,0.6225
decision_tree_with_autoencoding,1.0,0.61875
knn5_with_no_reduction,0.7334375,0.6
naive_bayes_with_pca,0.7625,0.59625
qda_with_no_reduction,1.0,0.5675
random_forest_with_pca,1.0,0.53625
lda_with_pca,0.963125,0.51625
svm_with_pca,0.9984375,0.515
linear_probe_with_pca,1.0,0.5
qda_with_pca,1.0,0.5
knn5_with_pca,0.7703125,0.495
knn3_with_pca,0.81375,0.4875
decision_tree_with_pca,1.0,0.4775
knn1_with_pca,1.0,0.47125
