,train_accuracy,test_accuracy
knn5_with_no_reduction,0.73225,0.5785
knn3_with_no_reduction,0.78525,0.5745
knn1_with_no_reduction,1.0,0.5705
linear_probe_with_no_reduction,1.0,0.5505
svm_with_no_reduction,0.97325,0.541
svm_with_autoencoding,0.9845,0.522
naive_bayes_with_autoencoding,0.713,0.522
knn1_with_pca,1.0,0.5115
lda_with_autoencoding,0.784,0.5075
random_forest_with_autoencoding,1.0,0.507
qda_with_no_reduction,1.0,0.506
knn3_with_pca,0.7915,0.505
linear_probe_with_autoencoding,0.78425,0.505
knn5_with_autoencoding,0.81675,0.5015
qda_with_pca,1.0,0.5
knn5_with_pca,0.7435,0.4985
knn1_with_autoencoding,1.0,0.496
qda_with_autoencoding,0.96225,0.491
decision_tree_with_autoencoding,1.0,0.4875
svm_with_pca,0.999,0.487
lda_with_no_reduction,1.0,0.486
knn3_with_autoencoding,0.84725,0.484
decision_tree_with_pca,1.0,0.4805
decision_tree_with_no_reduction,1.0,0.475
lda_with_pca,0.98525,0.4685
linear_probe_with_pca,1.0,0.465
naive_bayes_with_pca,0.792,0.4645
random_forest_with_no_reduction,1.0,0.4615
random_forest_with_pca,1.0,0.4505
naive_bayes_with_no_reduction,0.72525,0.4485
