,train_accuracy,test_accuracy
naive_bayes_with_pca,0.7475,0.613
random_forest_with_pca,1.0,0.54675
svm_with_pca,0.999,0.523
linear_probe_with_pca,1.0,0.50775
lda_with_pca,1.0,0.5075
linear_probe_with_no_reduction,1.0,0.50575
svm_with_no_reduction,0.9875,0.5045
knn3_with_no_reduction,0.9125,0.49975
decision_tree_with_pca,1.0,0.49775
qda_with_pca,1.0,0.49775
knn5_with_no_reduction,0.886,0.49625
knn1_with_pca,1.0,0.4915
knn5_with_pca,0.8515,0.49
decision_tree_with_no_reduction,1.0,0.48775
qda_with_no_reduction,1.0,0.4845
knn1_with_no_reduction,1.0,0.483
knn3_with_pca,0.8995,0.47925
random_forest_with_no_reduction,1.0,0.47775
naive_bayes_with_no_reduction,0.891,0.4765
lda_with_no_reduction,1.0,0.46
decision_tree_with_autoencoding,1.0,0.4585
linear_probe_with_autoencoding,1.0,0.4155
random_forest_with_autoencoding,1.0,0.41475
qda_with_autoencoding,0.994,0.41475
lda_with_autoencoding,0.9695,0.401
knn1_with_autoencoding,1.0,0.40075
naive_bayes_with_autoencoding,0.8565,0.3915
knn3_with_autoencoding,0.9065,0.37725
svm_with_autoencoding,0.9945,0.372
knn5_with_autoencoding,0.8825,0.3705
