,train_accuracy,test_accuracy
svm_with_no_reduction,0.989375,0.94
svm_with_autoencoding,0.995,0.93
lda_with_autoencoding,0.969375,0.9225
lda_with_no_reduction,0.99875,0.915
linear_probe_with_no_reduction,1.0,0.9125
random_forest_with_no_reduction,1.0,0.9075
linear_probe_with_autoencoding,1.0,0.9
qda_with_autoencoding,0.99375,0.9
random_forest_with_autoencoding,1.0,0.8625
knn3_with_no_reduction,0.91875,0.845
naive_bayes_with_no_reduction,0.9125,0.84
knn5_with_no_reduction,0.88,0.8225
naive_bayes_with_autoencoding,0.874375,0.815
knn3_with_autoencoding,0.91,0.81
knn1_with_no_reduction,1.0,0.8075
knn1_with_autoencoding,1.0,0.8075
knn5_with_autoencoding,0.8825,0.8075
decision_tree_with_no_reduction,1.0,0.7775
decision_tree_with_autoencoding,1.0,0.6625
svm_with_pca,0.99875,0.5975
qda_with_no_reduction,1.0,0.5775
random_forest_with_pca,1.0,0.5575
knn3_with_pca,0.886875,0.54
decision_tree_with_pca,1.0,0.53
knn1_with_pca,1.0,0.525
knn5_with_pca,0.845,0.515
linear_probe_with_pca,1.0,0.51
naive_bayes_with_pca,0.75,0.505
qda_with_pca,0.99875,0.5025
lda_with_pca,0.9925,0.4925
