,train_accuracy,test_accuracy
svm_with_autoencoding,0.994375,0.93
linear_probe_with_no_reduction,1.0,0.92
random_forest_with_no_reduction,1.0,0.88875
svm_with_no_reduction,0.9796875,0.87375
lda_with_autoencoding,0.8928125,0.86625
qda_with_autoencoding,0.97875,0.855
linear_probe_with_autoencoding,0.9,0.855
random_forest_with_autoencoding,1.0,0.85125
naive_bayes_with_autoencoding,0.776875,0.74625
naive_bayes_with_no_reduction,0.7790625,0.74375
knn5_with_autoencoding,0.8209375,0.7425
decision_tree_with_no_reduction,1.0,0.73125
knn3_with_autoencoding,0.861875,0.72625
knn1_with_autoencoding,1.0,0.71875
lda_with_no_reduction,1.0,0.66
knn1_with_no_reduction,1.0,0.6575
decision_tree_with_autoencoding,1.0,0.6475
knn3_with_no_reduction,0.7809375,0.6275
knn5_with_no_reduction,0.73375,0.6
qda_with_no_reduction,1.0,0.5625
naive_bayes_with_pca,0.774375,0.55625
decision_tree_with_pca,1.0,0.55
knn5_with_pca,0.7553125,0.53
knn3_with_pca,0.80625,0.52625
svm_with_pca,0.999375,0.52125
knn1_with_pca,1.0,0.515
linear_probe_with_pca,1.0,0.50125
qda_with_pca,1.0,0.5
lda_with_pca,0.99,0.4925
random_forest_with_pca,1.0,0.48875
