,train_accuracy,test_accuracy
linear_probe_with_no_reduction,1.0,0.5985
naive_bayes_with_pca,0.81675,0.561
lda_with_no_reduction,1.0,0.56
decision_tree_with_autoencoding,1.0,0.532
linear_probe_with_autoencoding,0.906,0.532
svm_with_pca,0.9995,0.5305
knn1_with_pca,1.0,0.529
lda_with_autoencoding,0.89675,0.529
knn5_with_pca,0.73225,0.515
random_forest_with_autoencoding,1.0,0.5135
svm_with_no_reduction,0.98425,0.513
linear_probe_with_pca,1.0,0.5125
knn3_with_pca,0.7815,0.5125
random_forest_with_pca,1.0,0.5105
lda_with_pca,0.99725,0.5075
decision_tree_with_no_reduction,1.0,0.5045
qda_with_no_reduction,1.0,0.5005
qda_with_pca,1.0,0.5
knn5_with_no_reduction,0.73275,0.498
knn1_with_no_reduction,1.0,0.497
knn3_with_no_reduction,0.784,0.48
decision_tree_with_pca,1.0,0.479
svm_with_autoencoding,0.9905,0.4725
naive_bayes_with_no_reduction,0.774,0.4625
knn1_with_autoencoding,1.0,0.4575
random_forest_with_no_reduction,1.0,0.454
knn3_with_autoencoding,0.849,0.433
knn5_with_autoencoding,0.82,0.421
qda_with_autoencoding,0.9685,0.4105
naive_bayes_with_autoencoding,0.7915,0.379
