,train_accuracy,test_accuracy
linear_probe_with_autoencoding,0.88975,0.632
lda_with_autoencoding,0.889,0.632
lda_with_no_reduction,1.0,0.6215
linear_probe_with_no_reduction,1.0,0.618
svm_with_autoencoding,0.9945,0.5955
random_forest_with_no_reduction,1.0,0.5875
knn5_with_no_reduction,0.73275,0.58
knn3_with_no_reduction,0.784,0.578
knn1_with_no_reduction,1.0,0.574
random_forest_with_autoencoding,1.0,0.569
decision_tree_with_no_reduction,1.0,0.565
svm_with_no_reduction,0.98425,0.5635
knn5_with_autoencoding,0.82125,0.5505
naive_bayes_with_autoencoding,0.782,0.549
decision_tree_with_autoencoding,1.0,0.54
qda_with_autoencoding,0.974,0.536
qda_with_no_reduction,1.0,0.534
knn3_with_autoencoding,0.8595,0.533
knn1_with_autoencoding,1.0,0.5255
naive_bayes_with_no_reduction,0.774,0.515
knn1_with_pca,1.0,0.504
naive_bayes_with_pca,0.8165,0.5035
decision_tree_with_pca,1.0,0.5
qda_with_pca,1.0,0.5
knn3_with_pca,0.78275,0.4955
random_forest_with_pca,1.0,0.4935
knn5_with_pca,0.7315,0.4905
lda_with_pca,0.998,0.4785
linear_probe_with_pca,1.0,0.4775
svm_with_pca,0.9995,0.468
