,train_accuracy,test_accuracy
naive_bayes_with_pca,0.7825,0.58275
random_forest_with_pca,1.0,0.53375
linear_probe_with_autoencoding,1.0,0.5305
lda_with_no_reduction,1.0,0.53025
random_forest_with_no_reduction,1.0,0.52925
lda_with_autoencoding,0.9905,0.52575
decision_tree_with_no_reduction,1.0,0.5245
linear_probe_with_no_reduction,1.0,0.52175
qda_with_pca,1.0,0.5205
naive_bayes_with_no_reduction,0.934,0.51875
decision_tree_with_pca,1.0,0.51725
svm_with_pca,1.0,0.51675
svm_with_no_reduction,0.9915,0.5135
lda_with_pca,1.0,0.507
linear_probe_with_pca,1.0,0.505
knn1_with_pca,1.0,0.5025
knn3_with_no_reduction,0.912,0.501
knn5_with_no_reduction,0.8875,0.4985
knn3_with_pca,0.911,0.494
decision_tree_with_autoencoding,1.0,0.4915
qda_with_no_reduction,1.0,0.48825
knn5_with_pca,0.8765,0.48725
svm_with_autoencoding,0.998,0.48425
knn1_with_no_reduction,1.0,0.483
random_forest_with_autoencoding,1.0,0.47975
qda_with_autoencoding,0.9965,0.4795
naive_bayes_with_autoencoding,0.906,0.43025
knn3_with_autoencoding,0.9335,0.4225
knn1_with_autoencoding,1.0,0.42175
knn5_with_autoencoding,0.915,0.417
