,train_accuracy,test_accuracy
lda_with_no_reduction,1.0,0.9725
svm_with_autoencoding,0.998125,0.96
linear_probe_with_autoencoding,1.0,0.955
lda_with_autoencoding,0.99,0.955
svm_with_no_reduction,0.991875,0.9525
random_forest_with_no_reduction,1.0,0.9425
qda_with_autoencoding,0.996875,0.9375
linear_probe_with_no_reduction,1.0,0.9325
random_forest_with_autoencoding,1.0,0.9125
naive_bayes_with_no_reduction,0.941875,0.9125
naive_bayes_with_autoencoding,0.905,0.875
knn3_with_autoencoding,0.94,0.865
knn5_with_autoencoding,0.93,0.8575
knn3_with_no_reduction,0.918125,0.85
knn1_with_autoencoding,1.0,0.8425
knn5_with_no_reduction,0.88125,0.825
knn1_with_no_reduction,1.0,0.8125
decision_tree_with_autoencoding,1.0,0.8025
decision_tree_with_no_reduction,1.0,0.79
svm_with_pca,1.0,0.595
qda_with_no_reduction,1.0,0.575
decision_tree_with_pca,1.0,0.5725
random_forest_with_pca,1.0,0.555
knn1_with_pca,1.0,0.555
knn3_with_pca,0.915,0.5425
knn5_with_pca,0.87125,0.5375
linear_probe_with_pca,1.0,0.535
lda_with_pca,0.999375,0.525
naive_bayes_with_pca,0.773125,0.5
qda_with_pca,1.0,0.4975
