,train_accuracy,test_accuracy
linear_probe_with_autoencoding,1.0,0.7945
lda_with_autoencoding,0.9915,0.732
linear_probe_with_no_reduction,1.0,0.697
random_forest_with_autoencoding,1.0,0.6925
svm_with_autoencoding,0.9985,0.679
lda_with_no_reduction,1.0,0.669
decision_tree_with_autoencoding,1.0,0.651
random_forest_with_no_reduction,1.0,0.628
svm_with_no_reduction,0.9915,0.6275
decision_tree_with_no_reduction,1.0,0.5915
qda_with_autoencoding,0.9965,0.59
naive_bayes_with_no_reduction,0.934,0.569
svm_with_pca,1.0,0.5675
knn1_with_autoencoding,1.0,0.5575
knn3_with_autoencoding,0.9325,0.557
knn5_with_autoencoding,0.907,0.5545
naive_bayes_with_autoencoding,0.908,0.5525
knn1_with_no_reduction,1.0,0.5455
knn5_with_no_reduction,0.8875,0.5405
knn1_with_pca,1.0,0.5365
knn3_with_no_reduction,0.912,0.536
naive_bayes_with_pca,0.7775,0.528
knn3_with_pca,0.911,0.5245
random_forest_with_pca,1.0,0.519
linear_probe_with_pca,1.0,0.5185
knn5_with_pca,0.8745,0.5175
lda_with_pca,1.0,0.5155
qda_with_no_reduction,1.0,0.508
decision_tree_with_pca,1.0,0.5005
qda_with_pca,1.0,0.4845
