,train_accuracy,test_accuracy
naive_bayes_with_pca,0.8995,0.64075
lda_with_autoencoding,0.9955,0.5785
svm_with_autoencoding,0.9995,0.5685
linear_probe_with_no_reduction,1.0,0.567
random_forest_with_no_reduction,1.0,0.56
linear_probe_with_autoencoding,1.0,0.55925
svm_with_no_reduction,0.991,0.542
decision_tree_with_no_reduction,1.0,0.53775
lda_with_no_reduction,1.0,0.5375
qda_with_autoencoding,0.999,0.53225
random_forest_with_autoencoding,1.0,0.52475
qda_with_no_reduction,1.0,0.5215
naive_bayes_with_autoencoding,0.952,0.5195
decision_tree_with_autoencoding,1.0,0.51775
knn5_with_no_reduction,0.8605,0.516
knn1_with_autoencoding,1.0,0.51475
knn1_with_no_reduction,1.0,0.51425
knn3_with_no_reduction,0.8855,0.5135
random_forest_with_pca,1.0,0.50925
knn3_with_autoencoding,0.944,0.50875
knn5_with_autoencoding,0.9425,0.50475
lda_with_pca,1.0,0.49225
svm_with_pca,1.0,0.49125
linear_probe_with_pca,1.0,0.4885
naive_bayes_with_no_reduction,0.945,0.4885
decision_tree_with_pca,1.0,0.485
knn1_with_pca,1.0,0.477
knn3_with_pca,0.9305,0.46925
knn5_with_pca,0.919,0.4665
qda_with_pca,1.0,0.466
