,train_accuracy,test_accuracy
svm_with_autoencoding,1.0,0.76
lda_with_autoencoding,0.9945,0.76
linear_probe_with_autoencoding,1.0,0.7425
random_forest_with_autoencoding,1.0,0.712
qda_with_autoencoding,0.9995,0.6895
linear_probe_with_no_reduction,1.0,0.686
random_forest_with_no_reduction,1.0,0.6845
naive_bayes_with_autoencoding,0.955,0.684
knn3_with_autoencoding,0.945,0.684
svm_with_no_reduction,0.991,0.6745
knn5_with_autoencoding,0.943,0.6675
knn1_with_autoencoding,1.0,0.6635
decision_tree_with_no_reduction,1.0,0.645
lda_with_no_reduction,1.0,0.6085
knn1_with_no_reduction,1.0,0.607
naive_bayes_with_pca,0.8915,0.605
decision_tree_with_autoencoding,1.0,0.602
knn3_with_no_reduction,0.8855,0.6015
naive_bayes_with_no_reduction,0.945,0.5805
knn1_with_pca,1.0,0.58
knn5_with_pca,0.921,0.5765
knn3_with_pca,0.9335,0.575
knn5_with_no_reduction,0.8605,0.573
qda_with_no_reduction,1.0,0.53
svm_with_pca,1.0,0.5095
decision_tree_with_pca,1.0,0.504
linear_probe_with_pca,1.0,0.4965
lda_with_pca,1.0,0.4935
random_forest_with_pca,1.0,0.4905
qda_with_pca,1.0,0.4815
