,train_accuracy,test_accuracy
linear_probe_with_autoencoding,1.0,0.9925
lda_with_autoencoding,0.99625,0.9925
svm_with_autoencoding,1.0,0.99
lda_with_no_reduction,1.0,0.9875
qda_with_autoencoding,1.0,0.9625
linear_probe_with_no_reduction,1.0,0.9525
random_forest_with_autoencoding,1.0,0.9425
random_forest_with_no_reduction,1.0,0.9375
svm_with_no_reduction,0.989375,0.9275
naive_bayes_with_no_reduction,0.94625,0.9125
naive_bayes_with_autoencoding,0.92875,0.9075
knn5_with_autoencoding,0.94,0.8825
knn3_with_autoencoding,0.94375,0.8675
knn1_with_autoencoding,1.0,0.8275
knn5_with_no_reduction,0.854375,0.77
decision_tree_with_autoencoding,1.0,0.7575
decision_tree_with_no_reduction,1.0,0.75
knn3_with_no_reduction,0.8875,0.7475
knn1_with_no_reduction,1.0,0.71
linear_probe_with_pca,1.0,0.565
svm_with_pca,1.0,0.56
lda_with_pca,0.99875,0.555
random_forest_with_pca,1.0,0.55
decision_tree_with_pca,1.0,0.5325
naive_bayes_with_pca,0.943125,0.5325
qda_with_no_reduction,1.0,0.5225
knn1_with_pca,1.0,0.515
qda_with_pca,1.0,0.51
knn5_with_pca,0.930625,0.505
knn3_with_pca,0.94,0.485
