,train_accuracy,test_accuracy
naive_bayes_with_pca,0.805,0.6965
lda_with_autoencoding,0.983,0.61575
svm_with_autoencoding,0.9985,0.61175
lda_with_no_reduction,1.0,0.60275
linear_probe_with_autoencoding,1.0,0.59925
random_forest_with_no_reduction,1.0,0.5875
random_forest_with_autoencoding,1.0,0.5875
qda_with_autoencoding,0.9975,0.579
naive_bayes_with_autoencoding,0.92,0.57
linear_probe_with_no_reduction,1.0,0.56775
naive_bayes_with_no_reduction,0.9375,0.56125
decision_tree_with_autoencoding,1.0,0.55125
knn1_with_autoencoding,1.0,0.55
knn3_with_autoencoding,0.943,0.54875
knn5_with_autoencoding,0.935,0.54575
svm_with_no_reduction,0.9905,0.5425
decision_tree_with_no_reduction,1.0,0.54
lda_with_pca,0.998,0.5185
qda_with_pca,1.0,0.51775
knn5_with_no_reduction,0.8605,0.517
knn1_with_no_reduction,1.0,0.51425
knn3_with_no_reduction,0.8835,0.51375
qda_with_no_reduction,1.0,0.5135
random_forest_with_pca,1.0,0.51325
linear_probe_with_pca,1.0,0.51125
svm_with_pca,0.9995,0.51125
knn1_with_pca,1.0,0.50125
knn3_with_pca,0.922,0.5
knn5_with_pca,0.8995,0.499
decision_tree_with_pca,1.0,0.49575
