,train_accuracy,test_accuracy
svm_with_autoencoding,0.995625,0.965
linear_probe_with_autoencoding,1.0,0.9625
lda_with_autoencoding,0.985625,0.9525
random_forest_with_autoencoding,1.0,0.9425
random_forest_with_no_reduction,1.0,0.94
linear_probe_with_no_reduction,1.0,0.9375
qda_with_autoencoding,0.9975,0.925
svm_with_no_reduction,0.98625,0.925
naive_bayes_with_no_reduction,0.938125,0.9225
naive_bayes_with_autoencoding,0.91625,0.9075
knn5_with_autoencoding,0.939375,0.8775
knn3_with_autoencoding,0.9425,0.855
lda_with_no_reduction,1.0,0.8425
decision_tree_with_autoencoding,1.0,0.8325
svm_with_pca,1.0,0.83
random_forest_with_pca,1.0,0.82
knn1_with_autoencoding,1.0,0.82
decision_tree_with_pca,1.0,0.805
linear_probe_with_pca,1.0,0.79
lda_with_pca,0.9975,0.78
knn5_with_no_reduction,0.85375,0.77
knn3_with_pca,0.92375,0.75
knn5_with_pca,0.905,0.7475
knn3_with_no_reduction,0.885625,0.7475
decision_tree_with_no_reduction,1.0,0.7375
naive_bayes_with_pca,0.829375,0.7075
knn1_with_pca,1.0,0.705
knn1_with_no_reduction,1.0,0.7025
qda_with_pca,1.0,0.605
qda_with_no_reduction,1.0,0.52
