,train_accuracy,test_accuracy
svm_with_no_reduction,0.98675,0.655
linear_probe_with_no_reduction,1.0,0.642
lda_with_no_reduction,1.0,0.5955
lda_with_autoencoding,0.8885,0.586
linear_probe_with_autoencoding,0.8965,0.5835
naive_bayes_with_pca,0.7785,0.5835
knn1_with_no_reduction,1.0,0.58
knn3_with_no_reduction,0.8115,0.579
knn5_with_no_reduction,0.7515,0.5755
decision_tree_with_pca,1.0,0.5165
decision_tree_with_autoencoding,1.0,0.5135
random_forest_with_pca,1.0,0.51
decision_tree_with_no_reduction,1.0,0.5075
knn1_with_pca,1.0,0.504
qda_with_no_reduction,1.0,0.5015
qda_with_pca,1.0,0.5
svm_with_autoencoding,0.995,0.4975
random_forest_with_autoencoding,1.0,0.4925
knn5_with_pca,0.74625,0.485
knn3_with_pca,0.79625,0.4825
naive_bayes_with_no_reduction,0.7645,0.475
random_forest_with_no_reduction,1.0,0.46
svm_with_pca,0.99925,0.451
lda_with_pca,0.993,0.4465
naive_bayes_with_autoencoding,0.79525,0.4305
qda_with_autoencoding,0.982,0.43
knn1_with_autoencoding,1.0,0.4285
linear_probe_with_pca,1.0,0.4275
knn3_with_autoencoding,0.857,0.4055
knn5_with_autoencoding,0.824,0.3915
