,train_accuracy,test_accuracy
linear_probe_with_autoencoding,1.0,0.802
svm_with_no_reduction,0.998,0.7465
linear_probe_with_no_reduction,1.0,0.7335
lda_with_autoencoding,0.9835,0.7005
random_forest_with_no_reduction,1.0,0.6885
random_forest_with_autoencoding,1.0,0.685
lda_with_no_reduction,1.0,0.6685
svm_with_autoencoding,0.998,0.6555
decision_tree_with_autoencoding,1.0,0.6225
knn1_with_no_reduction,1.0,0.6075
decision_tree_with_no_reduction,1.0,0.6045
knn3_with_no_reduction,0.9305,0.5985
qda_with_autoencoding,0.9985,0.5935
knn5_with_no_reduction,0.906,0.586
naive_bayes_with_no_reduction,0.921,0.572
knn1_with_autoencoding,1.0,0.566
knn3_with_autoencoding,0.93,0.5595
knn5_with_autoencoding,0.91,0.553
knn1_with_pca,1.0,0.545
naive_bayes_with_autoencoding,0.904,0.545
knn5_with_pca,0.8705,0.537
knn3_with_pca,0.91,0.5365
naive_bayes_with_pca,0.729,0.5285
linear_probe_with_pca,1.0,0.5125
qda_with_no_reduction,1.0,0.51
lda_with_pca,1.0,0.507
random_forest_with_pca,1.0,0.494
svm_with_pca,0.9995,0.494
decision_tree_with_pca,1.0,0.4905
qda_with_pca,1.0,0.4855
