,train_accuracy,test_accuracy
svm_with_autoencoding,1.0,0.7625
lda_with_autoencoding,0.994,0.757
linear_probe_with_autoencoding,1.0,0.7545
random_forest_with_autoencoding,1.0,0.72
naive_bayes_with_autoencoding,0.9545,0.7145
qda_with_autoencoding,1.0,0.701
random_forest_with_no_reduction,1.0,0.6985
knn1_with_no_reduction,1.0,0.6685
knn5_with_autoencoding,0.947,0.6685
knn3_with_autoencoding,0.9535,0.666
knn3_with_no_reduction,0.942,0.6535
knn1_with_autoencoding,1.0,0.6365
knn5_with_no_reduction,0.9365,0.6315
svm_with_no_reduction,1.0,0.623
decision_tree_with_no_reduction,1.0,0.616
decision_tree_with_autoencoding,1.0,0.614
naive_bayes_with_no_reduction,0.9245,0.593
lda_with_no_reduction,1.0,0.5915
linear_probe_with_no_reduction,1.0,0.5875
naive_bayes_with_pca,0.889,0.5775
qda_with_no_reduction,1.0,0.537
knn5_with_pca,0.922,0.521
knn1_with_pca,1.0,0.5105
knn3_with_pca,0.9255,0.51
svm_with_pca,1.0,0.505
linear_probe_with_pca,1.0,0.4985
lda_with_pca,1.0,0.4975
random_forest_with_pca,1.0,0.4935
qda_with_pca,1.0,0.493
decision_tree_with_pca,1.0,0.4755
